${0},,
"${0} ${1} already exists.","${0} ${1} ekziston tashmë."
"${0} ${1} does not exist","${0} ${1} nuk ekziston"
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} është ndryshuar pas ngarkimit, ju lutemi ringarkoni regjistrimin."
"${0} ${1} is linked with existing records.","${0} ${1} është i lidhur me regjistrimet ekzistuese."
"${0} account not set in Inventory Settings.","${0} llogaria nuk është caktuar në Parametrat e Inventarit."
"${0} already saved","${0} është ruajtur tashmë"
"${0} already submitted","${0} është dërguar tashmë"
"${0} cancelled","${0} u anulua"
"${0} cannot be cancelled","${0} nuk mund të anulohet"
"${0} cannot be deleted","${0} nuk mund të fshihet"
"${0} deleted","${0} u fshi"
"${0} entries failed","${0} regjistrime dështuan"
"${0} entries imported","${0} regjistrime u importuan"
"${0} entry failed","${0} regjistrim dështoi"
"${0} entry imported","${0} regjistrim u importua"
"${0} fields selected","${0} fusha të përzgjedhura"
"${0} filters applied","${0} filtra të aplikuar"
"${0} has linked child accounts.","${0} ka llogari të varura."
"${0} of type ${1} does not exist","${0} i llojit ${1} nuk ekziston"
"Allow to bypass filters","Lejo anashkalimin e filtrave"
"Currency","Monedha"
"Customizations","Personalizime"
"Dark mode","Modaliteti i errët"
"Date Format","Formati i datës"
"Defaults","Parazgjedhje"
"General","Përgjithshme"
"Print","Shtypje"
"Accounts","Llogaritë"
"Features","Veçoritë"
"Full Name","Emri i plotë"
"Company Name","Emri i kompanisë"
"Bank Name","Emri i bankës"
"Country","Vendi"
"Select Country","Zgjidh vendin"
"Write Off Account","Llogaria e shlyerjes"
"Round Off Account","Llogaria e rrumbullakimit"
"Discount Account","Llogaria e zbritjeve"
"Display Precision","Saktësia e shfaqjes"
"Hide Get Started","Fshih udhëzuesin fillestar"
"Locale","Lokale"
"Enable Discount Accounting","Aktivo kontabilitetin e zbritjeve"
"Enable Inventory","Aktivo inventarin"
"Enable Price List","Aktivo listën e çmimeve"
"Enable Invoice Returns","Aktivo kthimet e faturave"
"Enable Form Customization","Aktivo personalizimin e formës"
"Enable ERPNext Sync","Aktivo sinkronizimin me ERPNext"
"Enable Lead","Aktivo gjenerimin e kontakteve"
"Enable Pricing Rule","Aktivo rregullat e çmimit"
"Enable Item Enquiry","Aktivo kërkesat për artikuj"
"Enable Loyalty Program","Aktivo programin e besnikërisë"
"Enable Coupon Code","Aktivo kodet e kuponit"
"Enable Item Group","Aktivo grupet e artikujve"
"Enable POS Without Inventory","Aktivo POS pa inventar"
"Enable Partial Payment","Aktivo pagesën e pjesshme"
"Fiscal Year Start Date","Data e fillimit të vitit fiskal"
"Fiscal Year End Date","Data e përfundimit të vitit fiskal"
"Setup Complete","Konfigurimi i përfunduar"
"Auto Payments","Pagesa automatike"
"Sales Payment Account","Llogaria e pagesave të shitjes"
"Purchase Payment Account","Llogaria e pagesave të blerjes"
"Auto Stock Transfer","Transferte automatike të stokut"
"Shipment Location","Lokacioni i dërgesës"
"Purchase Receipt Location","Lokacioni i pranimit të blerjes"
"Number Series","Seritë e numrave"
"Sales Invoice Number Series","Seria e numrave të faturave të shitjes"
"Purchase Invoice Number Series","Seria e numrave të faturave të blerjes"
"Journal Entry Number Series","Seria e numrave të regjistrimeve ditar"
"Payment Number Series","Seria e numrave të pagesave"
"Sales Quote Number Series","Seria e numrave të ofertave të shitjes"
"Terms","Kushtet"
"Sales Invoice Terms","Kushtet e faturës së shitjes"
"Purchase Invoice Terms","Kushtet e faturës së blerjes"
"Contacts","Kontaktet"
"Phone","Telefoni"
"Address","Adresa"
"Color","Ngjyra"
"Font","Shkronja"
"Display Logo in Invoice","Shfaq logon në faturë"
"Display Amount In Words","Shfaq shumën me fjalë"
"Display Time In Invoice","Shfaq kohën në faturë"
"Display Description In Invoice","Shfaq përshkrimin në faturë"
"Application of Funds (Assets)","Përdorimi i fondeve (Aktivet)"
"Expenses","Shpenzime"
"Income","Të ardhura"
"Source of Funds (Liabilities)","Burimi i fondeve (Detyrimet)"
"Current Assets","Aktive qarkulluese"
"Fixed Assets","Aktive fikse"
"Investments","Investime"
"Temporary Accounts","Llogari të përkohshme"
"Direct Expenses","Shpenzime të drejtpërdrejta"
"Indirect Expenses","Shpenzime indirekte"
"Direct Income","Të ardhura të drejtpërdrejta"
"Indirect Income","Të ardhura indirekte"
"Capital Account","Llogaria e kapitalit"
"Current Liabilities","Detyrimet afatshkurtra"
"Number Display","Shfaqja e numrave"
"Remove Filter","Hiq filtrin"
"System","Sistemi"
"System Settings","Cilësimet e Sistemit"
"Version","Versioni"
"Add Account","Shto Llogari"
"Add Group","Shto Grup"
"Add Row","Shto Rresht"
"Alert","Kujdes"
"Amount","Shumë"
"Apply","Apliko"
"Balance Sheet","Bilanci"
"Batch","Lot"
"Cancel","Anulo"
"Cannot Delete","Nuk mund të fshihet"
"Chart of Accounts","Plani i Llogarive"
"Clear","Pastro"
"Continue","Vazhdo"
"Create","Krijo"
"Customers","Klientët"
"Dashboard","Paneli"
"Date","Data"
"Default","Default"
"Delete","Fshi"
"Does Not Contain","Nuk përmban"
"Done","U krye"
"Download","Shkarko"
"Draft","Draft"
"Edit","Redakto"
"Entry Type","Lloji i Regjistrimit"
"Error","Gabim"
"Export","Eksporto"
"Export Failed","Eksportimi dështoi"
