${0},${0}
"${0} ${1} already exists.","${0} ${1} 已经存在",
"${0} ${1} does not exist","${0} ${1} 不存在",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} 已在加载后修改，请重新加载条目",
"${0} ${1} is linked with existing records.","${0} ${1} 与现有记录相关联",
"${0} account not set in Inventory Settings.",${0}未在“库存设置”中设置帐户,
${0} already applied.,已应用 ${0}
"${0} already saved","${0} 已保存",
"${0} already submitted","${0} 已提交",
${0} before ${1},${0} 在 ${1} 之前
"${0} cancelled","${0} 删除",
"${0} cannot be cancelled","${0} cannot be cancelled",
"${0} cannot be deleted","${0} 无法删除",
"${0} deleted","${0} 删除",
"${0} entries failed","${0} 条目失败",
"${0} entries imported","${0} 导入的条目",
"${0} entry failed","${0} 条目失败",
"${0} entry imported","已导入 ${0} 条目",
"${0} fields selected","已选择 ${0} 个字段",
"${0} filters applied","已应用 ${0} 个筛选器",
"${0} has linked child accounts.","${0} 已关联子帐户",
"${0} of type ${1} does not exist","类型为 ${1} 的 ${0} 不存在",
${0} only has ${1} points,${0} 仅有 ${1} 积分
${0} only has ${1} points (${2} will be earned from this transaction),${0} 仅有 ${1} 积分（将从本次交易获得 ${2} 积分）
"${0} out of ${1}","${0} 共 ${1}",
"${0} party ${1} is different from ${2}","${0} 参与方 ${1} 与 ${2} 不同",
${0} quantity ${1} added.,已添加 ${0} 数量 ${1}
"${0} quantity 1 added.","添加了 ${0} 数量1",
"${0} row added.","已添加 ${0} 行",
"${0} rows","${0} 行",
"${0} rows added.","已添加 ${0} 行",
"${0} saved","已保存 ${0}",
"${0} shortcuts","${0} 快捷方式",
"${0} stored at ${1}","${0} 存储在 ${1}",
"${0} submitted","已提交 ${0}",
"${0} value ${1} does not exist.","${0} 值 ${1} 不存在",
0%,0%,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","应用了 1 个过滤器",
2022-03-23,2022-03-23,
"23 Mar, 2022","23 03, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
9888900000,电话号码,
"A submittable entry is deleted only if it is in the cancelled state.",只有当可提交条目处于取消状态时，才会删除该条目,
API Base URL,API 基础 URL
Account,科目,
"Account ${0} does not exist.","账户 ${0} 不存在",
"Account Entries",帐户条目,
"Account Name",帐户名称,
"Account Type",帐户类型,
Accounting,会计,
"Accounting Entries",会计分录,
Accounting Ledger Entry,会计分类账条目
"Accounting Settings",会计设置,
Accounts,账户,
"Accounts Payable",应付账款,
"Accounts Receivable",应收账款,
"Accumulated Depreciation",累计折旧,
Action,操作
Active,有效,
"Add Account",添加帐户,
"Add Customers",添加客户,
"Add Group",添加组,
"Add Items",添加商品,
"Add Row",添加行,
"Add Suppliers",添加供应商,
"Add Taxes",加税,
"Add a few customers to create your first sales invoice",添加几个客户创建您的第一张销售订单,
"Add a few suppliers to create your first purchase invoice",添加一些供应商以创建您的第一张采购订单,
"Add a filter",添加过滤器,
"Add a remark",添加备注,
"Add attachment",添加附件,
"Add invoice terms",添加发票条款,
"Add products or services that you buy from your suppliers",添加您从供应商处购买的商品或服务,
"Add products or services that you sell to your customers",添加您向客户销售的商品或服务,
Add quote terms,添加报价条款
"Add transfer terms",添加转账条款,
Add'l Discounts,额外折扣
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","数量为 ${2} 的 ${1} 所需的额外$ ${0} 序列号",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","额外数量 (${0}) 需要 ${1} 才能在 ${4} 从 ${3} 向外转移商品 ${2}",
Address,地址,
"Address Display",地址显示,
"Address Line 1","地址第 1 行",
"Address Line 2","地址第 2 行",
"Address Name",地址名称,
"Administrative Expenses",行政开支,
Alert,提示
All,全部,
Allow to bypass filters,允许绕过筛选
Amount,总计,
"Amount Paid",付款金额,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","金额：${0} 和核销：${1} 少于分配给参考的总金额：${2}。",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","金额：${0} 小于分配给参考的总金额：${1}。",
Amounts,金额,
"An entry is cancelled only if it is in the submitted state.",只有当条目处于已提交状态时，才会取消该条目,
"An entry is submitted only if it is submittable and is in the saved state.",条目只有在可提交且处于保存状态时才提交,
"An error occurred.",发生错误。,
And,与
"Applicable anywhere in Frappe Books","适用于Frappe Books的任何地方",
Applicable when POS is open,POS 开启时适用
"Applicable when Quick Search is open",打开快速搜索时适用,
"Applicable when Template Builder is open",打开模板生成器时适用,
